"NUMBER","INETSHORTD"
"ICMRAIM             ","Escential Essences Cone Incense Rain Musk, silky radiance. For charming, alluring, revealing your inner light. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMREDG             ","Escential Essences Cone Incense Red Ginger, wealth and riches. For good fortune, inner strength, therapeutic. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMROYAV            ","Escential Essences Cone Incense Royal African Violet, Zanibar nights. For untamed beauty, captivating, aura, aromatic charm. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMSANC             ","Escential Essences Cone Incense Sanctuary, french lavender. For tranquility, meditation, solitude, healing, protection, realization of the self, peace. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMSHA              ","Escential Essences Cone Incense Shamanwood, spirit guide. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMSND              ","Escential Essences Cone Incense Sandalwood, meditation. For spiritual anointment, concentration, self-realization. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMSUMS             ","Escential Essences Cone Incense Summer Solstice, celebration of life. For feasting, merriment, midsummer revelry. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTAL              ","Escential Essences Cone Incense Talisman, golden amber. For transformation, mysticism, enchantress, protective symbol. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTEM              ","Escential Essences Cone Incense Temptress, forbidden fruit. For animal attraction, teasing, passion, sensuality, binding of the heart. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTIBM             ","Escential Essences Cone Incense Tibetan Musk, inner truth. For divine inspiration, transformation, ascendance, nirvana. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTRA              ","Escential Essences Cone Incense tranquility, deep relaxation. For calming, soothing, peaceful, restful, dream state. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTRIC             ","Escential Essences Cone Incense Tribal Coconut, Tahitian Vanilla. For paradise, happiness, contentment, and blessings. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMTROR             ","Escential Essences Cone Incense Tropical Rain, rebirth and regeneration. For earth healing, creation, growth, and transformation. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMVENR             ","Escential Essences Cone Incense Venus Rose, aphrodite. For love, affection, romance, and passion. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWHIJ             ","Escential Essences Cone Incense White Jasmine, inspiration. For purification, confidence, rejuvenation, and liberation. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWHIL             ","Escential Essences Cone Incense White Lotus, renewal. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWHIS             ","Escential Essences Cone Incense White Sage, clearing and protection. For ceremonial magick, spirit dreams, tribal dances, and ancestors. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWINS             ","Escential Essences Cone Incense Winter Solstice, hearth and home. For rebirth, return of the light, feasting, gifts and charity. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWPD              ","Escential Essences Cone Incense White Sage, Patchouli, and Dragon's Blood. For protection, spirit dreams, potency and as an aphrodisiac. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMWSPS             ","Escential Essences Cone Incense White Sage and Palo Santo. For harmonious balance, spiritual upliftment, and cleansing. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMZENG             ","Escential Essences Cone Incense Zen Garden, cherrywood. For serenity, personal growth, meditation, and reflection. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICMZOMC             ","Escential Essences Cone Incense Zombie Crayze. Every package includes 16 long-burning cones, wonderfully scented and elegantly packaged, making them ideal for personal use, ritual work, meditation, or gifting. Escential Essences of the Old and New World collection are cruelty free, made in the USA and are crafted with cosmetic-grade ingredients "
"ICNAGC              ","The scent of that incense you always wanted to find again, but couldn't remember the name.  THE LARGEST SELLING INCENSE IN THE WORLD. Box of approx. 12 cones, with cone burning stand."
"ICPALS              ","The ""Holy Wood"" is used for cleansing and healing. It has an uplifting and calming aroma that will allow for deeper meditations. Made in Peru and comes in a pack of 6 large cones about 1 1/2"" tall."
"ICR008              ","This cast iron cauldron is a sturdy and essential addition to any altar or sacred space. With its three legs and unique ribbing design, it provides a solid and distinctive tool for various rituals and ceremonies. Made of durable cast iron, it is built to last, making it suitable for a wide range of spiritual practices."
"ICR013              ","Great cast iron cauldron with plenty of room for all your magical workings. Triple Moon on the front a comes with a lid. Sizes and shapes may vary and slight imperfections in the cast iron are expected. 4 1/2"" tall with lid and a 4' across the top of the mouth"
"ICR014              ","Great mini potbelly cast iron cauldron with lid. Pentagram on the front and has 3 supporting peg legs. Sizes and shapes may vary and slight imperfections in the cast iron are expected. 4 1/2"" tall with lid and a 2 1/4' across the top of the mouth."
"ICR016              ","Great cast iron cauldron with plenty of room for all your magical workings. Triquetra on the front a comes with a lid. Sizes and shapes may vary and slight imperfections in the cast iron are expected. 4 1/2"" tall with lid and a 4' across the top of the mouth"
"ICR029              ","A large pot belly cauldron with 3 legs, a lid and a Pentagram symbol on the front. Lots of room in this one for all your magical workings. 8 1/2"" tall with lid with mouth measuring 6"" across lip. "
"ICR030              ","Great cast iron cauldron with plenty of room for all your magical workings. Pentagram on the front a comes with a lid. Sizes and shapes may vary and slight imperfections in the cast iron are expected. 5 1/2"" tall with lid and a 4 1/4' across the top of the mouth"
"ICVAMB              ","Premium Vampire blood incense fang cones. These cones are created using organic, natural and non-toxic ingredients. Vampire Blood is said to heighten the senses and create inner sensations of nirvana. 10 cones per individual box"
"IDBEN12             ","Fragrant rich to the spiritual heritage of India, these dhoop cups go beyond the Vedas and can be a wonderful addition to your life. Enjoy the pure fragrance blend of Benzoin and Sambrini in an easy to use convenient cup. To enjoy this unique resin blend and what it has to offer, simply light the entire rim of the cup then blow out the flame, place on the included metal plate and enjoy the powerful fragrance. Set of 12 Benzoin pure resin cups."
"IG163KI             ","This granular resin incense is of excellent quality, purity and strength, compounded of the finest herbs, gums, flowers and oils obtainable. Use this long lasting incense every day with incense charcoals to make your environment more pleasant & enjoyable. 3 Kings Incense is reminiscent of the gifts born by the ancients to bless a special event. This granular incense comes in a 1 oz package."
"IG16BENP            ","Known for its vanilla-like aroma, Benzoin is a granular incense can be used with your charcoal burner to improve the atmosphere of your home or add to your ritual magick."
"IG16COP             ","Copal is used in rituals of purification, consecration, making contact with the other planes, and exorcism rites. May come with a random mix of large chunks of 1 1/2"" down to pebbles and dust in the same bag. Sold by weight - not particle size. Each bag will contain a different mix."
"IG16DRA             ","This is a premium resin famous for use as an incense. Light a charcoal disk and set some dragons blood granules/chunks on to enjoy the deep fragrant scents as the smoke swirls up and out. Botanical name: Daemonorops draco Blume. Also known as Sanguis Draconis. Let the dragon aid in empowerment, purification, protection, as well as consecrations and meditations. Origin attributed to Sumatra. 1 oz."
"IG16FM              ","Though both frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, ritual tools and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base, you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Frankincense Tears are known for their use in consecration, meditation, protection and purifying. Myrrh is known for: Protection, purification, healing and magical potency. Both are known for their use as a sacred tool in many cultures. 1 oz."
"IG16FRAS            ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1 oz."
"IG16FRAT            ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1 oz."
"IG16MYR             ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use in magical incenses, ritual tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Myrrh is known for its abilities in matters of protection, purification, healing, magical potency, and its use as a sacred tool in most cultures. 1 oz."
"IG33KI              ","This granular resin incense is of excellent quality, purity and strength, compounded of the finest herbs, gums, flowers and oils obtainable. Use this long lasting incense every day with incense charcoals to make your environment more pleasant & enjoyable. 3 Kings Incense is reminiscent of the gifts born by the ancients to bless a special event. This granular incense comes in a 1/3 oz package."
"IG3COP              ","Copal is used in rituals of purification, consecration, making contact with the other planes, and exorcism rites. May come with a random mix of large chunks of 1 1/2"" down to pebbles and dust in the same bag. Sold by weight - not particle size. Each bag will contain a different mix."
"IG3DRA              ","This is a premium resin famous for use as an incense. Light a charcoal disk and set some dragons blood granules on to enjoy the deep fragrant scents as the smoke swirls up and out. Botanical name: Daemonorops draco Blume. Also known as Sanguis Draconis. Let the dragon aid in empowerment, purification, protection, as well as consecrations and meditations. Origin attributed to Sumatra. 1/3oz. "
"IG3FM               ","Frankincense and Myrrh incense is a powerful scent long used in ancient magical practices. Burn it for meditation, peace, protection, and healing."
"IG3FRAS             ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1/3 oz."
"IG3FRAT             ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1/3 oz."
"IG3KI               ","This granular resin incense is of excellent quality, purity and strength, compounded of the finest herbs, gums, flowers and oils obtainable. Use this long lasting incense every day with incense charcoals to make your environment more pleasant & enjoyable. 3 Kings Incense is reminiscent of the gifts born by the ancients to bless a special event. This granular incense comes in a 2 oz package."
"IG3KIB              ","This granular resin incense is of excellent quality, purity and strength, compounded of the finest herbs, gums, flowers and oils obtainable. Use this long lasting incense every day with incense charcoals to make your environment more pleasant & enjoyable. 3 Kings Incense is reminiscent of the gifts born by the ancients to bless a special event. This granular incense comes in a 1lb package."
"IG3MYR              ","Known for ages for its healing and spiritual qualities, Myrrh incense is revered within a wide range of magical practice, particularly for its aid in healing and meditation. "
"IGBENP              ","Known for its vanilla-like aroma, Benzoin is a granular incense can be used with your charcoal burner to improve the atmosphere of your home or add to your ritual magick."
"IGBENPB             ","Known for its vanilla-like aroma, Benzoin is a granular incense can be used with your charcoal burner to improve the atmosphere of your home or add to your ritual magick. 1lb"
"IGCOP               ","Copal is from Indonesia and is used in rituals of purification, consecration, making contact with the other planes, and exorcism rites. May come with a random mix of large chunks of 1 1/2"" down to pebbles and dust in the same bag. Sold by weight - not particle size. Each bag will contain a different mix."
"IGCOPB              ","Copal is from Indonesia and is used in rituals of purification, consecration, making contact with the other planes, and exorcism rites. May come with a random mix of large chunks of 1 1/2"" down to pebbles and dust in the same bag. Sold by weight - not particle size. Each bag will contain a different mix."
"IGDRA               ","This is a premium resin famous for use as an incense. Light a charcoal disk and set some dragons blood granules/chunks on to enjoy the deep fragrant scents as the smoke swirls up and out. Botanical name: Daemonorops draco Blume. Also known as Sanguis Draconis. Let the dragon aid in empowerment, purification, protection, as well as consecrations and meditations. Origin attributed to Sumatra. 1/2 oz."
"IGDRAB              ","This is a premium resin famous for use as an incense. Light a charcoal disk and set some dragons blood granules/chunks on to enjoy the deep fragrant scents as the smoke swirls up and out. Botanical name: Daemonorops draco Blume. Also known as Sanguis Draconis. Let the dragon aid in empowerment, purification, protection, as well as consecrations and meditations. Origin attributed to Sumatra. "
"IGFM                ","Though both frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, ritual tools and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base, you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Frankincense Tears are known for their use in consecration, meditation, protection and purifying. Myrrh is known for: Protection, purification, healing and magical potency. Both are known for their use as a sacred tool in many cultures. 1 1/2 oz."
"IGFMB               ","Though both frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, ritual tools and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base, you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Frankincense Tears are known for their use in consecration, meditation, protection and purifying. Myrrh is known for: Protection, purification, healing and magical potency. Both are known for their use as a sacred tool in many cultures. 1 lb."
"IGFRAS              ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1 1/2 oz."
"IGFRAT              ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, religious tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1 1/2 oz."
"IGFRATB             ","Though both frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, ritual tools and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base, you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Frankincense is one of the most valuable substances of history, used for meditation, protection, purification, and consecration by countless cultures. 1 lb."
"IGMOT               ","Explore the influence of four incense scents used since ancient times as they have been used for centuries in rituals and spells. The 4 exclusive resins in this pack are Frankincense, Myrrh, Gum Damar resin, Gum Benzoin resin. Complete with a terracotta burner and a 10 pack of charcoal. Resin Gift Pack with Burner and Charcoal Starter Kit."
"IGMYR               ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use in magical incenses, ritual tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by a burning base or the fixatives typical in man-made stick or cone incense. Myrrh is known for its abilities in matters of protection, purification, healing, magical potency, and its use as a sacred tool in most cultures. 1 1/2 oz."
"IGMYRB              ","Though frankincense and myrrh tend to bring up certain religious connotations to the western mind, they have been in active use as magical incenses, ritual tools, and for their healing properties since at least 1500bc. Resin incenses are the top of the line in incense burning. Using incense charcoal as a base, you can release the intense fragrance of these fine resin granules -- without the dilution or alteration of scent caused by the burning base or fixatives typical in man-made stick or cone incense. Myrrh is know for: Protection, purification, healing, magical potency, and its use as a sacred tool in many cultures. 1 lb Myrrh may come in larger chucked peices that need to be  worked down."
"IGPALS              ","Palo Santo Resin Incense. Palo Santo resin has an uplifting and calming aroma that will allow deeper meditation. Use it for cleansing and healing the energy on and around you. 2oz. All Natural from Peru."
"IPGCOMT             ","Burn a small portion of this lightly scented powdered incense to gently call the things you desire toward you. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGCOMTB            ","Burn a small portion of this lightly scented powdered incense to gently call the things you desire toward you. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 pound."
"IPGDRA              ","Burn a small portion of this lightly scented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGDRAB             ","Burn a small portion of this lightly scented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 pound."
"IPGFIR              ","Burn a small portion of this lightly scented powdered incense to help ignite the fires of love and bring lust and attraction into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGFIRB             ","Burn a small portion of this lightly scented powdered incense to help ignite the fires of love and bring lust and attraction into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 lb."
"IPGHIJ              ","Self igniting High John Powder Incense is a powerful aid within your magical crafts, with a smoke useful for spells of good luck, protection, and prosperity. 1 oz"
"IPGHIJB             ","Self igniting High John Powder Incense is a powerful aid within your magical crafts, with a smoke useful for spells of good luck, protection, and prosperity."
"IPGHOF              ","Inspired by traditions of powerful magic, Hot Foot powder incense from 1618 Gold is intended to be burned to help keep undesired people out of your life or to curse your enemies."
"IPGHOFB             ","Inspired by traditions of powerful magic, Hot Foot powder incense from 1618 Gold is intended to be burned to help keep undesired people out of your life or to curse your enemies."
"IPGLOD              ","Using the magnetic qualities of the lodestone as inspiration and influence, Lodestone powder incense from 1618 Gold is self igniting ritual incense intended to help you attract that which you desire."
"IPGLODB             ","Using the magnetic qualities of the lodestone as inspiration and influence, Lodestone powder incense from 1618 Gold is self igniting ritual incense intended to help you attract that which you desire."
"IPGLOV              ","Burn a small portion of this lightly scented powdered incense to draw the fires of passion and romance into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGLOVB             ","Burn a small portion of this lightly scented powdered incense to draw the fires of passion and romance into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 lb."
"IPGMOND             ","Burn a small portion of this lightly scented powdered incense to draw financial strength and increased wealth into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGMONDB            ","Burn a small portion of this lightly scented powdered incense to draw financial strength and increased wealth into your life. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 lb."
"IPGPAT              ","Burn a small portion of this lightly scented powdered incense to draw the one you desire close. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 oz"
"IPGPATB             ","Burn a small portion of this lightly scented powdered incense to draw the one you desire close. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 lb"
"IPGPROT             ","Burn a small portion of this lightly scented powdered incense to bring additional magical protection to the room... and into your life as well! Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 ounce."
"IPGPROTB            ","Burn a small portion of this lightly scented powdered incense to bring additional magical protection to the room... and into your life as well! Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 lb."
"IPGRE               ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 2 oz. green unscented powder incense.
"
"IPGREB              ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1 pound green unscented powder incense.
"
"IPRED               ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 2oz Red unscented powder incense."
"IPREDB              ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1lb Red unscented powder incense."
"IPTAN               ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 2oz Tan unscented powder incense."
"IPTANB              ","Burn a small portion of this lightly unscented powdered incense to energize and magnify your magical works. Self-lighting and easy to use, simply place a small portion of this powder into a burn-safe bowl or cauldron and carefully apply flame to it with a match or lighter. 1lb Tan unscented powder incense."
"IRBSOUC             ","100g of Soul Connection pure frankincense resin coming in a plastic jar.  Frankincense is known for their use in consecration, meditation, protection and purifying. 100g"
"IRBSPI              ","100g of Spiritual pure Sandalwood resin coming in a plastic jar. Sandalwood is used for meditation, intentional acts, spirituality, and healing. 100g"
"IRDMAN              ","In this mixture, a pure lavender essential oil is blended with all-natural resins, aromatic herbs, and other essential oils and spices. This formula was created carefully in accordance to ancient wisdom to stimulate and open the Manipura Chakra.   Continued use of this incense helps the chakra to function in a healthy manner, and also promotes self-confidence, vitality, the ability to make changes in one’s life, and contributes to healthy digestion. The Manipura Chakra is the third chakra and is situated near the navel. It is the energetic center that relates to the fire element. Prabhuji explains that when this center is open, one experiences improved self-esteem, confidence, the feeling of lightness, enthusiasm, self-assurance, and the capacity to both accept and execute authority. Healthy functioning of the chakra also improves one’s dynamism, motivation, persistence, trust, ability and power to make changes in life, and promotes healthy digestion. Made U.S.A. "
"IRJAJN              ","Pure jasmine essential oil is blended with natural resin incense, herbs, spices and various other essential oils. It is designed in accordance to ancient wisdom to open the third eye and balance the Ajña chakra. Continued use of this resin incense assists in balancing and opening the chakra, and promotes a balanced personality, the ability to concentrate, intuition and spiritual vision.  The Ajña Chakra, the sixth energetic center, is situated in the space between the eyebrows. It is highly regarded as the third eye, or the eye of Lord Shiva.  It is the center that connects us to the mind element. Prabhuji explains that when this chakra functions well, it is expressed in the ability to concentrate, a balance between the poles of the personality, consciousness of the soul, personal knowledge, intuition, spiritual experiences, thinking power, and a markedly strong will power. On the physical level it manifests as balance in the paired organs, such as the ears, eyes, and kidneys. Made in U.S.A."
"IRJSAH              ","Pure lotus essential oil is blended with natural resin incense, herbs, spices and various other pure essential oils. It is designed in accordance to ancient wisdom to open, stimulate and balance the Sahasrara Chakra. Continued use of this resin incense assists in balancing and opening the chakra, and promotes a balanced personality, the ability to concentrate, intuition and spiritual vision.  The Sahasrara Chakra, the seventh energetic center, is situated at the crown of the head. It is the center that connects us to the transcendental, to the Divine. Prabhuji explains that when this center functions in a balanced manner, the human being experiences his or her most elevated level of development in all aspects; a pure and fresh mind, plenitude, interest in religion and spiritual topics, and an attraction to divine consciousness or the call of God. Made in U.S.A."
"IS15AV              ","A 15 gm box of Satya's Traditional Ayurveda incense sticks."
"IS15NM              ","A 15 gm box of Satya's Namaste incense sticks."
"IS15PAT             ","Satya Patchouli incense sticks are known for their signature heady rush along with the beloved aroma. This earthy and powerful scent helps keep insects and harmful germs away and acts as a grounding tool for the user. 15g box."
"IS15SA              ","Satya Sandalwood incense have a deeply interwoven Indian history and culture. This sacred woody aroma of Sandalwood can be used to energize the body and promote feelings of serenity. Slip into a state of relaxation when you light this incense stick. 15gm"
"IS15SM              ","Enhance abundance and prosperity in your space with this 15g pack of Money Stick Incense by Satya. Known for its rich, uplifting aroma, this incense is crafted to support rituals, meditation, or daily practices focused on attracting wealth, success, and positive energy. Each stick is carefully blended to produce a long-lasting, soothing fragrance that helps set the tone for financial intention, manifestation, and mindful focus."
"IS50AMBO            ","Introducing the Sonavi luxury edition Amber Oudh incense stick, a truly exquisite creation. Handcrafted with care, this incense stick is made from a blend of natural ingredients, including Cocos Nucifera Shell, Lisea Glutinosa, Benzoin Resin, Bamboo, and Indian Frankincense. The addition of oil of Amber Oudh adds a touch of opulence to the fragrance. Each pack contains 50g of these heavenly scented incense sticks, elegantly packaged in a tube with a convenient zip closure on the incense bag. Experience the soothing aroma and create a serene ambiance in your space with the Sonavi luxury edition Amber Oudh incense stick."
